Sentences,Tags
inclusion criteria symptoms congestive heart failure developed month pregnancy month postpartum identifiable heart failure lvef 35% transthoracic echocardiography,Population/Problem (element P)
patients eligible enrollment study total cholesterol level 135 270 mg/dl 3 5-7 0 mmol/l fasting triglyceride levels 400 mg/dl 4 5 mmol/l procedure,Population/Problem (element P)
study design preterm neonates 90 32 0/7 36 0/7 weeks gestational age participated single-blind randomized crossover design,Population/Problem (element P)
methods results-after 2-to 4-week placebo run-in 1124 patients sitting diastolic blood pressure bp 95 109 mm hg randomized aliskiren 150 n459 hydrochlorothiazide 12 5 n444 placebo n221 daily,Intervention and Comparison (element I and C)
subjects eligible enrollment 18 age metabolic syndrome stable medications 6 weeks prior entry experienced atherothrombotic vascular event cardiovascular intervention 6 months earlier hs-crp level 2 mg/l 10 mg/l screening,Population/Problem (element P)
combination letrozole trastuzumab safe effective treatment option patients her2 hr positive mbc labc delay chemotherapy,Outcome (element O)
patients fulfilling inclusion criteria randomly allocated treatment paths a-therapy group-preoperative iabc therapy started prior induction anesthesia continuous iabc entire procedure postoperatively,Intervention and Comparison (element I and C)
left ventricular contractility sensitive load-independent measure health cardiomyocytes signicantly depressed table 3,Outcome (element O)
categories reflected three-way randomisation reported,Not Relevant to the Evidence (Label N)
primary outcome composite death cardiac nonfatal myocardial infarction refractory angina components assessed individually,Outcome (element O)
study investigation 3 patients revascularized anterior wall ami depressed left ventricular function ejection fraction <45%,Population/Problem (element P)
heart rate reduced digoxin,Outcome (element O)
subgroup analyses sitting bp based age 65 versus 65 ethnicity african american versus non-african american sex diagnosis diabetes failed identify treatment subgroup interactions power test low subgroups sample sizes,Population/Problem (element P)
reductions consistently 5 voltage criteria lvh,Outcome (element O)
cervical ripening performed antepartum unit adjacent labor suite continuous fetal heart rate uterine activity monitored patients,Not Relevant to the Evidence (Label N)
quantitative proportional reduction atorvastatin placebo 62% 11% discharge 0001 84% 30% 1 month 0001 table ii figure 2,Outcome (element O)
nt-probnp assay doppler-echocardiography cardiopulmonary exercise test performed enrolment sixth months,Intervention and Comparison (element I and C)
12-week intervention valsartan enalapril efcacious terms exercise capacity symptoms heart failure quality life left ventricular function size,Outcome (element O)
patient died malignancy endometrial cancer ve reasons stroke cardiac disease massive pulmonary embolism patient death unknown,Outcome (element O)
primary outcome time occurrence death nonfatal myocardial infarction nonfatal stroke,Outcome (element O)
placebo run-in patients meeting bp criteria randomized 16 treatment,Intervention and Comparison (element I and C)
oral misoprostol increased doses vaginal dinoprostone gel infusion oxytocin reduction uterine hyperstimulation fetal heart rate,Outcome (element O)
finding consistent reports 3 7 9 11 12 17 23 25,Not Relevant to the Evidence (Label N)
women included gestational age 34 weeks single fetus cephalic presentation induction labor planned,Population/Problem (element P)
allocated treatment received n=365 100% allocated treatment received n=375 99 7%,Not Relevant to the Evidence (Label N)
b-control group-no preoperative iabc note s-nonstatistical difference lvef-left ventricular ejection fraction,Intervention and Comparison (element I and C)
compared standard chemotherapy concurrent treatment trastuzumab first-line chemotherapy time disease progression rate response duration response improved survival,Outcome (element O)
difference primary secondary patency limb salvage dacron ptfe,Outcome (element O)
seventy-two patients 40 males 32 females aged 29 63 -sd age 52 -12 diagnosed essential hypertension assessed eligibility enrolled trial,Population/Problem (element P)
envelope contained 2 packages identically appearing pills 1 labeled oral medication placebo misoprostol 50 1 labeled vaginal medication placebo misoprostol 50,Intervention and Comparison (element I and C)
multicentre randomised controlled trial test hypothesis intrapartum monitoring cardiotocography combined automatic st-waveform analysis improved perinatal outcome compared cardiotocography,Population/Problem (element P)
4 months 38 6 + 24 7% dysfunctional segments improved segmental wall thickening patients treated mononuclear bm cells compared 36 8 + 20 9% peripheral blood 42 4 + 18 7% control,Outcome (element O)
authors responsible content writing paper,Not Relevant to the Evidence (Label N)
addition weakness speech disturbance dysarthria patients 81 aspirin daily study duration loading dose 162 naive aspirin study enrolment,Intervention and Comparison (element I and C)
aim study compare anti-hypertensive efficacy renal cardiac haemodynamic effects bisoprolol losartan 1-year time period patients essential hypertension,Population/Problem (element P)
control patients recommended perform basic daily mild physical activities avoid physical training,Intervention and Comparison (element I and C)
exclusion criteria included patients allergy gabapentin history drug alcohol abuse chronic pain daily intake analgesics corticosteroids diabetes impaired kidney function anticipated difficult intubation,Population/Problem (element P)
patients receiving antihypertensive treatment discontinued previous drugs directly rolled arms starting valsartan 80 amlodipine 5 placebo run-in period figure 1,Intervention and Comparison (element I and C)
therapists cognitive-behavioral techniques provided assignments instructions directed patients additional medical checks prescribed sildenafil relevant drugs israel time study,Intervention and Comparison (element I and C)
misoprostol induced sufficient uterine contractions induction-delivery interval half oxytocin,Outcome (element O)
methods women undergoing induction labour 34 weeks pregnancy allocated randomised sealed opaque envelopes induction labour titrated oral misoprostol solution doses vaginal dinoprostone 2mg administered hours,Intervention and Comparison (element I and C)
women complete questionnaire postnatally assess satisfaction inductions preference route administration oral vaginal inducing agent induction,Intervention and Comparison (element I and C)
bcirg 006 trial docetaxel administered concurrently trastuzumab ac chemotherapy arm trial examining combination docetaxel trastuzumab carboplatin analogous bcirg 007,Intervention and Comparison (element I and C)
profile bone-marrow cells amount cells studies aiming myocardial regeneration variable evidence suggesting preferable bone-marrow cell population setting intracoronary injection analyses patients subanalyses comparing performance myocardial segments infarct patients treated infarct patients control carried,Intervention and Comparison (element I and C)
oral respond pge 2 abdominal deliveries women opted caesarean sections pge 2,Intervention and Comparison (element I and C)
patients assigned er felodipine 20 and/or er metoprolol succinate 400 received half doses 1 week escalation dose,Intervention and Comparison (element I and C)
interim analysis demonstrated difference primary outcomes sample size required differences trial discontinued,Not Relevant to the Evidence (Label N)
dr graeme smith assistance editing manuscript,Not Relevant to the Evidence (Label N)
nicu neonatal intensive care unit,Not Relevant to the Evidence (Label N)
respect cell transfer centrifugation resuspension reduced cell volume bone marrow harvest 130 sd 22 final volume 10 injected infarct-related coronary artery contained 30410 6 sd 12810 lesion cell placebo injection impair timi frame count trigger increase concentrations troponin,Intervention and Comparison (element I and C)
randomization computer generated table investigators involved clinical care patients,Not Relevant to the Evidence (Label N)
study demonstrates radial approach burdened 100% increase operator radiation exposure diagnostic coronary catheterization procedures 50% increase coronary interventions provided special devices radiation protection,Outcome (element O)
analgesia trial patients included opiate analgesia entonox gas epidural anesthesia,Not Relevant to the Evidence (Label N)
males females 18 age stable heart failure york heart association class ii-iii left ventricular ejection fraction 045 angiotensin-converting enzyme inhibitor heart failure 3 months perform 6-min-walk test eligible,Population/Problem (element P)
median duration follow-up clopidogrel 364 days minimum-maximum 1-598 364 days 2-598 placebo,Intervention and Comparison (element I and C)
lips study patients average cholesterol levels cholesterol-lowering treatment fluvastatin 80 mg/d pci stenting 5 3% absolute reduction 22% relative reduction risk fatal nonfatal major adverse cardiac events 4 follow-up compared placebo,Outcome (element O)
excluded patients earlier arterial bypass graft procedure leg saphenous vein removed earlier,Population/Problem (element P)
meet criterion enrollment basis multiple risk factors patients required major minor major minor atherothrombotic risk factors,Population/Problem (element P)
pre-specied secondary endpoints included cardiovascular death individual components primary endpoint safety endpoints stroke major bleeding contrast-induced nephropathy,Outcome (element O)
addition bp measured monthly systolic sbp diastolic dbp bp measured triplicate mercury sphygmomanometer 5 minutes supine position,Intervention and Comparison (element I and C)
unselected bone marrow mononuclear cells tested randomized controlled trials 56789 investigate cell administration clinical end-points left ventricular function,Population/Problem (element P)
outcome variables premature infant pain profile pipp score heart rate oxygen saturation,Outcome (element O)
patients ldl cholesterol levels 130 mg/dl 3 37 mmol/l month 8 subsequent visitwereprovidedadditionaldietary lifestyle compliance counseling,Intervention and Comparison (element I and C)
exclusion criteria included pure aortic insufciency planned concomitant procedures previous surgical procedures congenital true bicuspid sievers type 0 aortic valve emergency operations ejection fraction 25% myocardial infarction 90 days stroke transient ischemic attack 6 months,Population/Problem (element P)
intracoronary infusion mononuclear bone marrow cells patients ami poor ventricular function short-term functional recovery reported,Outcome (element O)
hyperstimulation syndrome 10 hexoprenalin mandatory fetal blood sampling management emergency cesarean,Not Relevant to the Evidence (Label N)
difference vaginal delivery achieved 60 8% women = 226 cs 142 38%,Intervention and Comparison (element I and C)
cervical ripening active labor occur repeated doses oral 100-200 vaginal 25-50 labor established,Intervention and Comparison (element I and C)
vitamin tablet identical appearance misoprostol tablet labor,Intervention and Comparison (element I and C)
indications termination intrauterine fetal death fetal anomaly,Not Relevant to the Evidence (Label N)
269 chinese patients recruited 193 recruited ami 76 elective pci fig 1,Population/Problem (element P)
reports fetal blood sampling amnioinfusion,Not Relevant to the Evidence (Label N)
fatigue patients receiving high-dose 400 er metoprolol succinate combination medium-to high-dose 10 20 er felodipine common 20% 10/400 18% 20/400 2% 9% treatment,Intervention and Comparison (element I and C)
correctable intrauterine resuscitation terbutaline intravenously emergency cs fetal distress,Not Relevant to the Evidence (Label N)
treatment arm patients chf previous history myocardial infarction randomised receive aspirin asa warfarin,Intervention and Comparison (element I and C)
125 postmenopausal hypertensive women age 61 4ae6 systolic blood pressure diastolic blood pressure sbp dbp 158ae11 92ae9 mm hg randomized valsartan 320 mgaehydrochlorothiazide hctz n=63 amlodipine 10 mgaehctz n=62,Intervention and Comparison (element I and C)
trial designed pursue optimal dosing regimen opposed placebocontrolled trial,Not Relevant to the Evidence (Label N)
patients receiving thrombolytic therapy peak creatine phosphokinase activity compared hbo 989 1529 iu 05,Outcome (element O)
sv increased bm differences sv entire 12-month follow-up period differences 6 12 months respect figure 4,Outcome (element O)
objective compare efficacy safety 100 oral misoprostol induction labor regimen 3 hour 6 hour interval administration,Population/Problem (element P)
eligibility criteria included node-positive disease node-negative disease pathological tumour size larger 1 cm,Population/Problem (element P)
patients received prior anthracycline-and taxane-based regimens adjuvant metastatic setting,Population/Problem (element P)
ephedrine 3 increments administered hypotension systolic arterial pressure sap 100 mmhg decrease 30% baseline values 60 atropine 300 increments bradycardia hr 45 beats min,Intervention and Comparison (element I and C)
patients received adjuvant postoperative therapy anthracycline treated doxorubicin epirubicin 36 women cyclophosphamide 143 women trastuzumab 138 women,Intervention and Comparison (element I and C)
exclusion criteria applied bilateral breast cancer metastases ipsilateral supraclavicular nodes previous treatment invasive malignant disease previous concurrent malignant disease basal-cell carcinoma skin in-situ cervical cancer pregnancy lactation investigational drugs 30 days illness medical disorders including cardiac failure york heart association nyha class ii,Population/Problem (element P)
3 months treatment change patient clinical symptoms categorized nyha functional class maintained improved patients candesartan cilexetil treatment comparedwith placebo placebo 925% cc 2 974% 4 955% 8 946% 16 100%,Outcome (element O)
increase pain removal adhesive tape pre-procedure pipp score 347 074 post-procedure pipp score 1213 259 p<00001,Outcome (element O)
neonates apgar scores 1 5 minutes,Not Relevant to the Evidence (Label N)
lvh ecg echocardiography blood-pressure-independent predictor cerebrovascular events,Outcome (element O)
previous evidence effects clopidogrel inflammatory markers pronounced patients elevated baseline levels biomarkers,Outcome (element O)
ticlopidine 1 month angioplasty,Outcome (element O)
sample size determined consideration type1 statistical error <5% type2 statistical error <20%,Not Relevant to the Evidence (Label N)
postmenopausal women her2-positive immunohistochemistry ihc 3 dako herceptest dako carpinteria food drug administration-approved ihc test and/or fluorescence situ hybridization positive two-fold amplification confirmed central testing hormone receptor-positive er positive and/or pgr positive determined locally defined institutional criteria mbc eligible,Population/Problem (element P)
assuming 40% women receiving vaginal pge 2 deliver 24 hours induction 6 sample size calculated detect 25% increase 65% misoprostol power 90% 0 10 0 10 instat version 3 01 graphpad software san deigo california usa,Intervention and Comparison (element I and C)
cervix visualised sterile bivalved vaginal speculum,Not Relevant to the Evidence (Label N)
ethical approval proceed study local ethics committee hospital,Not Relevant to the Evidence (Label N)
increasing route choice labor induction,Not Relevant to the Evidence (Label N)
univariate analysis hr 0 85 95% ci 0 62-1 16,Not Relevant to the Evidence (Label N)
impact program health outcome participants experimental improvement quality life health functioning scores patients usual care,Outcome (element O)
valsartanbased regimen 18 qualifying risk factors male sex age 50 verified diabetes mellitus current smoking total cholesterol left ventricular hypertrophy electrocardiogram proteinuria dipstick raised serum creatinine 150 265 mol/l 265 mol/l patients judged severe renal failure excluded,Population/Problem (element P)
consistent modification diet renal disease favorable trend lower bp goal participants baseline proteinuria 1 gram day lower levels proteinuria,Outcome (element O)
women electronic fetal heart rate monitoring 45 minutes prior administration misoprostol dose,Intervention and Comparison (element I and C)
background induction labour misoprostol augmented oxytocin consequence uterine hypercontractility,Population/Problem (element P)
conclusion misoprostol orally effective inducing labor term acceptable patients,Outcome (element O)
proportion participants required 1 drug control bp reasonable infer diuretic included multidrug regimens,Intervention and Comparison (element I and C)
3 patients excluded echocardiographic evaluation unsatisfactory registrations 2 patients diabetes mellitus excluded analyses insulin glucose,Population/Problem (element P)
843% patients male sd age 569 109,Population/Problem (element P)
intramuscular intravenous analgesia pain relief labor,Not Relevant to the Evidence (Label N)
minus sd,Not Relevant to the Evidence (Label N)
prespecified secondary outcomes included cardiovascular death admission hospital chf non-fatal myocardial infarction cardiovascular death admission chf non-fatal myocardical infarction non-fatal stroke cardiovascular death admission chf non-fatal myocardial infarction non-fatal stroke coronary revascularisation death admission hospital chf development diabetes,Outcome (element O)
curettage performed intravenous sedation meperidine diazepam,Not Relevant to the Evidence (Label N)
tachysystole identified women oral compared 13 women vaginal difference statistically,Intervention and Comparison (element I and C)
patients ht exercised 61 min training session exercised 42 min prescribed exercise intensity zone 70 85% maximal heart rate,Intervention and Comparison (element I and C)
envelopes coded hospital pharmacy codes broken study medical staff patient blinded assignment,Not Relevant to the Evidence (Label N)
cochrane systematic review19 intervention counseling education aimed behavioral reduce total coronary heart disease mortality clinical events population demonstrated effective reducing mortality high-risk populations,Outcome (element O)
neonatal outcome measures birth weight apgar scores 1 5 min neonatal morbidity mortality,Not Relevant to the Evidence (Label N)
total 573 women admitted induction labor randomized receive oral misoprostol vaginal misoprostol control dinoprostone,Intervention and Comparison (element I and C)
patients randomly assigned receive arm ac combination ac doxorubicin 54 mg/m2 cyclophosphamide 12 g/m2 intravenously iv 3 weeks cycles arm ii sequence 3 doxorubicin 405 mg/m2 iv days 1 2 21-day cycle cycles cyclophosphamide 24 gm/m2 iv 2 weeks cycles,Intervention and Comparison (element I and C)
inclusion criteria age 18 undergoing rst pci access telephone,Population/Problem (element P)
clopidogrel atherothrombotic risk ischemic stabilization management avoidance charisma trial prospective multicenter randomized double-blind placebocontrolled study efficacy safety clopidogrel aspirin compared aspirin patients risk cardiovascular event,Intervention and Comparison (element I and C)
1 stent delivery failure tortuous coronary artery transfemoral,Outcome (element O)
consists bed/chair rest hospital 2 weeks oral penicillin 2 weeks discharge 4 weekly administrations intramuscular benzathine long-acting penicillin,Intervention and Comparison (element I and C)
financial support midwife project grant provided foundation womens childrens hospital,Not Relevant to the Evidence (Label N)
uterine hyperstimulation,Not Relevant to the Evidence (Label N)
october 2001 2003 total 153 women signed written informed consent participate trial randomized receive 100 oral misoprostol receive 50 vaginal misoprostol,Intervention and Comparison (element I and C)
17-segment model regional wall motion analysis lv lvef evaluated 1 6 months intracoronary infusion bone marrow cells,Intervention and Comparison (element I and C)
fewer ppcm-br patients met composite poor outcome defined death york heart association functional class iii/iv left ventricular ejection fraction 35% 6 months,Outcome (element O)
advances treatment prevention half people surviving 2,Outcome (element O)
pretreatment plasma et-1 levels vitiligo psoriasis elevated values healthy controls current study reported literature 2 3-4 pg,Outcome (element O)
concealment allocation ensured opaque envelopes treatment cards,Not Relevant to the Evidence (Label N)
patients excluded set 175 patients,Population/Problem (element P)
vasodilatory treatment correct abnormal structure nonvasodilating treatment compared long-term angiotensin-converting enzyme ace inhibition coronary reserve cardiovascular structure -blockade patients essential hypertension,Population/Problem (element P)
520 randomly assigned treatment included analysis 279 assigned chest compression mouth-tomouth ventilation 241 chest compression p=010,Intervention and Comparison (element I and C)
treatment clopidogrel reduced risk myocardial infarction recurrent ischemia trend lower rates stroke death cardiovascular,Outcome (element O)
staff encouragement patients exercise target heart rate prescribed duration supervised setting,Intervention and Comparison (element I and C)
conducted randomized controlled trial comparing aspirin clopidogrel aspirin cabg patients revascularized 1 saphenous vein,Intervention and Comparison (element I and C)
neonatal outcome measures infant apgar scores neonatal resuscitation neonatal asphyxia,Not Relevant to the Evidence (Label N)
patient age 61 910 6 60 patients 85 7% 10 patients 14 3% prior coronary artery disease,Population/Problem (element P)
methods authors assigned 378 mild hypertensive outpatients sinus rhythm 2 episodes af previous 6 months 1 2,Intervention and Comparison (element I and C)
patients bishop score 7 amniotomy prior prostaglandins excluded,Population/Problem (element P)
study drug interruptions included median doses 1493 802-1585 82 50-99,Intervention and Comparison (element I and C)
women eligible study 66 age health organization performance status 0 1 undergone breast surgery axillary-node dissection sentinel-node biopsy invasive breast carcinoma,Population/Problem (element P)
pci patients pretreated intravenous bolus heparin unfractionated heparin 50 iu/kg upper limit 4000 iu patients 75 low molecular weight heparin enoxaparin 30 intravenously 1 mg/kg subcutaneously patients aged 75 bolus aspirin 250 intravenously,Intervention and Comparison (element I and C)
patients eligible inclusion study required above-knee below-knee femoropopliteal bypass proximal anastomosis level distal external iliac common femoral profunda femoral proximal supercial femoral artery,Population/Problem (element P)
patients recruited 2 weeks entering cardiac rehabilitation included women 35 75 age classied low moderate risk7 lived #30 miles facility,Population/Problem (element P)
eligible patients randomly assigned computer generation 2 blocks 11 ratio transfemoral transradial catheterization,Intervention and Comparison (element I and C)
one-and ve-minute apgar scores 5 10,Not Relevant to the Evidence (Label N)
bishops score b5,Not Relevant to the Evidence (Label N)
patients metabolic syndrome randomized receive clopidogrel 75 mg/ day aspirin 81 mg/day n=89 placebo aspirin 81 mg/day n=92 9 weeks assess efficacy treatment suppression inflammatory markers,Intervention and Comparison (element I and C)
exclusion criteria inability perform activities daily living feeding bathing dressing grooming homemaking leisure enrolment project heart failure clinic serial follow-up creates bias contraindication exercise testing,Population/Problem (element P)
cardiac disease defined condition directly involving heart arrhythmia angina myocardial infarction valvular disease,Population/Problem (element P)
oral doses 200 dose increased 300 duration study total 1600,Intervention and Comparison (element I and C)
aimed assess endothelin-1 et-1 potent melanocyte mitogen plasma puva-treated paients vitiligo,Population/Problem (element P)
population sixty-one women confirmed prelabour rupture membranes,Population/Problem (element P)
fmd corr improved antihypertensive treatment concomitant improvement artery endothelial function,Outcome (element O)
ensaio foi registrado em irct ir nmero irct2012061910068n1,Not Relevant to the Evidence (Label N)
study design ninety-eight women indications labor induction favorable cervical examinations assigned randomly receive oral misoprostol oxytocin induction,Population/Problem (element P)
instruction phase patients received exercise prescription hosp-cr wristwatch digital pulse monitor cycle ergometer log book record heart rate attained exercise session reasons finishing missing session,Intervention and Comparison (element I and C)
total 573 women recruited study,Population/Problem (element P)
patients larger myocardial infarctions increase metabolic activity cell transfer placebo infusion 288% 69 bmsc n=9 159% 79 controls n=9 treatment 1205 95% ci 1063-1366 p=0012,Outcome (element O)
2 patients received esmolol 50 saline 1 iv 3 received esmolol 50 nicardipine 1 iv,Intervention and Comparison (element I and C)
secondary endpoint time ecg-documented recurrence af,Intervention and Comparison (element I and C)
failure progress defined cervical dilation fetal descent progress 3 hours entering active labor phase augmented agent,Not Relevant to the Evidence (Label N)
individual education provided exercise sessions included exercise training principles cardiovascular risk factors nutrition principles pharmacologic therapy identifying target outcomes,Intervention and Comparison (element I and C)
findings reduction crp levels individuals reduction ldl-c placebo atorvastatin crp levels 30 days independently ldl-c reduction,Outcome (element O)
wmai decreased 36 00 3 86% 34 40 4 46% bone marrow treated control 6 months,Outcome (element O)
achieve ldl cholesterol levels 130 mg/dl pravastatin dosage increased 40 mg/day nicotinic acid 1 5 6 g/day and/or cholestyramine 4 32 g/day,Intervention and Comparison (element I and C)
patients persistent af cardioversion performed adt maintain sinus rhythm,Intervention and Comparison (element I and C)
ejection fraction increased 6 months follow intergroup comparison revealed administration coenzyme q10 increase cardiac systolic function,Outcome (element O)
main clinical exclusion criteria presence lesions vein grafts arterial conduits segments treated angioplasty stent implantation thrombolysis 1 week cardiogenic shock defined hypotension systolic blood pressure <90 mmhg tachycardia 100 beats/min hypovolemia requiring inotropic support balloon counterpulsation,Population/Problem (element P)
institutions ethics committee approved study informed consent participants,Not Relevant to the Evidence (Label N)
ten 55 6% women randomly assigned misoprostol received 100 mcg tablets 4 hours maximum 6 doses maximum total dose 600 mcg 24 hours cervical ripening doses received,Intervention and Comparison (element I and C)
differences expressed relative risk 95% confidence intervals ci,Not Relevant to the Evidence (Label N)
patients total 1677 patients aged 18-80 recruited april 1996 october 1998 stable unstable angina silent ischemia successful completion pci baseline total cholesterol levels 135 270 mg/dl 3 5-7 0 mmol/l fasting triglyceride levels 400 mg/dl 4 5 mmol/l,Population/Problem (element P)
analysis 3 pcis national registry post-procedural bleeding events increased risk in-hospital mortality estimated 121% death rate bleeding complications 20,Outcome (element O)
ns34 received controlled oxytocin intravenous infusion initiated 2 muy min stepped 2 muymin 15 min optimal response continued rate delivery,Intervention and Comparison (element I and C)
complete profile idiopathic dilated cardiomyoapathy definition health organization classification aged 18 stability 1 month medications received treatment cardiac failure presence normal sinus rhythm,Intervention and Comparison (element I and C)
microvascular obstruction prevalent half patients irrespective cell transfer n=19 controls n=17 bmsc precluded lv function recovery ejection fraction 4 months 47% sd 9% 46% 8 baseline adverse remodelling lvedv 162 33 day 4 175 43 follow-up p=0014,Population/Problem (element P)
patients allocated independent monitoring agency treatment randomization code envelopes 1 1 randomization paclitaxel arm paclitaxel trastuzumab arm stratified visceral involvement her-2/neu over-expression 2+ 3+ center,Intervention and Comparison (element I and C)
time recruitment women received tablets re- ceived drug misoprostol,Intervention and Comparison (element I and C)
dbp remained equal 90 mm hg week 12 label hydrochlorothiazide 12 5 daily titrated 25,Intervention and Comparison (element I and C)
study median reduction fasting triglycerides 14%,Outcome (element O)
addition at1 receptor blocker eprosartan change lvef central hemodynamic measurements reductions diastolic blood pressure heart rate remained constant,Outcome (element O)
patients received weekly paclitaxel single agent 80 mg/m 2 combined trastuzumab 4 mg/kg loading dose weekly 2 mg/kg,Intervention and Comparison (element I and C)
hyperstimulation fetal heart rate occurred 4% women oral misoprostol 3% vaginal dinoprostone rr 1 32 95% ci 0 592 98,Intervention and Comparison (element I and C)
primiparous women foley catheter/misoprostol 44% compared misoprostol 37% dinoprostone 36%,Intervention and Comparison (element I and C)
patients intervention improvements hrql,Outcome (element O)
study reviewed approved ethics board queens university kingston ontario canada,Not Relevant to the Evidence (Label N)
women requiring induction labor term 37-42 weeks gestation single live cephalic fetus unfavorable cervix bishop score 6 8 intact membranes recruited study,Population/Problem (element P)
data reintroduction continuation trastuzumab improves efficacy noncytotoxic drugs lapatinib pertuzumab tenispimycin dm1 patients metastatic breast cancer heavily pretreated,Outcome (element O)
team included cardiac rehabilitation nurse physiotherapist exercise therapist input psychologist occupational therapist pharmacist dietician,Intervention and Comparison (element I and C)
70 baseline characteristics examined intergroup difference reached statistical significance p005 prevalence diabetes warfarin 38% lowest clopidogrel 31%,Outcome (element O)
misoprostol prostaglandin e1 analogue inexpensive drug women requiring induction labor,Population/Problem (element P)
reactive stress test,Not Relevant to the Evidence (Label N)
314 patients randomly allocated complete revascularisation 313 individuals assigned invasive treatment,Intervention and Comparison (element I and C)
intervention subjects participated outpatient phase iii cr exercise training program control standard care outpatients,Intervention and Comparison (element I and C)
studies 4 5 16 17 study experience complications,Not Relevant to the Evidence (Label N)
addition weekly supervised exercise sessions subjects encouraged perform aerobic exercise weekly 30 min intensity heat rate rating 12-13 borg scale,Intervention and Comparison (element I and C)
data % sd median 1 3,Not Relevant to the Evidence (Label N)
women eligible study axillary nodepositive nonmetastatic unilateral breast adenocarcinoma,Population/Problem (element P)
patients 3 classic risk factors systolic blood pressure n140 mm hg total serum cholesterol n4 5 mmol/l body mass n25 kg/m 2 physical activity 4 hours week diabetes male sex family history ihd b60 considered hr chf ihd,Population/Problem (element P)
inclusion criteria ami anterior wall st elevation 12 symptom onset age 35 70 absence critical stenosis left anterior descending lad infarct-related artery ira,Population/Problem (element P)
study gabapentin effectively suppress increase iop secondary endotracheal intubation attenuated increases map,Outcome (element O)
current population statistically differences patients patients diabetes mellitus benefit stem cell therapy,Outcome (element O)
61 infants remaining study age 305 weeks sd 7 days birth weighed 1421 gm sd 490 gm 5minute apgar scores 82 sd 13 snap-pe-ii score 1008 sd 109,Population/Problem (element P)
trastuzumab administered 4 mg/kg intravenous loading dose 2 mg/kg weekly disease progression,Intervention and Comparison (element I and C)
study participants nurses residents attending staff unaware block randomization assignment completion trial,Not Relevant to the Evidence (Label N)
day 30 open-label statin therapy initiated patients one-year follow-up 75% patients treated statin fluvastatin 78% placebo ns,Intervention and Comparison (element I and C)
deemed eligible infarct artery treated stenosis 50% coronary arteries infarct artery stenosis deemed treatable pci,Population/Problem (element P)
tachysystole defined contractions 10-minute period consecutive 10-minute periods hypertonus single contraction duration 2 minutes hyperstimulation nonreassuring fetal heart rate tracing fetal tachycardia late decelerations loss beat-to-beat variability presence tachysystole hypertonus,Not Relevant to the Evidence (Label N)
patients left ventricular ejection fraction <40% included inducible ventricular tachycardia electrophysiologic studies,Population/Problem (element P)
oxytocin infused starting dose 6 mu minute 6 mu minute increases 40-minute intervals maximum dose 42 mu minute,Not Relevant to the Evidence (Label N)
material a-iabc started prior induction anesthesia = 15 b-no preoperative iabc = 15,Intervention and Comparison (element I and C)
exclusion criteria included 1 estimated fetal weight 4 000 evidence cephalopelvic disproportion 2 parity 6 3 previous cesarean delivery history uterine incision 4 contraindication vaginal delivery placenta previa vasa previa active genital herpes simplex infection 5 evidence chorioamnionitis determined maternal temperature 100 4f presence uterine tenderness foul-smelling amniotic fluid 6 contraindication prostaglandin,Population/Problem (element P)
patients received prior chemotherapy metastatic disease prior taxanes anti-her therapy excluded,Population/Problem (element P)
inclusion criteria infants 1 singleton gestational age 37 weeks 2 cared incubator 3 anticipated routine capillary blood draws 2 weeks birth 4 scheduled receive paralytic analgesic sedative medications 48 prior study session,Population/Problem (element P)
fetal heart abnormality contraction abnormalities suspected cardiotocographic tracings,Not Relevant to the Evidence (Label N)
differences irbesartan doxazosin terms metabolic effects consequence concomitant antihyperglycemic therapy,Outcome (element O)
objective determine oral misoprostol replace oxytocin labor stimulation women ruptured membranes term evidence labor,Population/Problem (element P)
total 60 patients anterior wall stemi lv ejection fraction <40% treated successful primary percutaneous coronary intervention randomly assigned treatment bmsc control 2 1 ratio,Intervention and Comparison (element I and C)
secondary cardiovascular outcomes included base observation treatment begun ejection fraction nyha functional class quality-of-life scores signs symptoms heart failure,Outcome (element O)
patients contacted telephone nurse coordinator week 5 weeks,Intervention and Comparison (element I and C)
20 patients increased qt dispersion 443 84 684 114 ms < 0001 qtc dispersion 462 62 722 84 < 0001 chemotherapy infusion,Outcome (element O)
control condition baby incubator prone position swaddled blanket heel accessible 15 minutes prior heel lancing procedure,Intervention and Comparison (element I and C)
twenty-eight stable male female preterm infants mothers enrolled,Population/Problem (element P)
conclusion oral misoprostol effective intracervical dinopro-stone induction labor difference frequency fetal heart rate abnormalities,Outcome (element O)
85% patients aged 65 left-ventricular ejection fraction 31% 69% 79% history ischaemic heart disease,Population/Problem (element P)
seventy-two patients randomized return normal activities 2 weeks 70 patients undergo standard cardiac rehabilitation return normal activities 6 weeks ami,Outcome (element O)
study design ninety-nine women term abnormal cardiotocography meconium-stained amniotic fluid 7% assigned randomly intervention cardiotocography stan control cardiotocography 2 university hospitals strasbourg france,Intervention and Comparison (element I and C)
included administration -sympathomimetic drugs hexoprenaline,Not Relevant to the Evidence (Label N)
18 age hospitalized cardiac intensive care unit acs unstable angina st-segment elevation myocardial infarction nonst-segment elevation myocardial infarction 1 educationmodifiable risk factors current smoking 12 months sedentary lifestyle <3 hours physical activity week overweight obesity body mass 25 overweight 30 obesity calculated weight kilograms divided height meters squared,Population/Problem (element P)
